,id,screen_name,complete_name,description,verified,crawled_at,location,url,created_at,tweet_count,listed_count,favs_count,followers_count,following_count,bot,user_type
24858289,24858289,davideb66,Davide Bertoli,,,2014-04-19 14:46:19,,,Tue Mar 17 08:51:12 +0000 2009,1299,0,1,22,40,True,Spambot_1
33212890,33212890,ElisaDospina,Elisa D'Ospina,"Autrice del libro #unavitatuttacurve dal 9 aprile in tutte le librerie.Top model #curvy, su @Raidue tutor di #moda per @dettofattorai2",,2014-05-18 23:20:58,Italy,http://t.co/ceK8TovxwI,Sun Apr 19 14:38:04 +0000 2009,18665,110,16358,12561,3442,True,Spambot_1
39773427,39773427,Vladimir65,Donato Vincenzo,[Live Long and Prosper],,2014-05-13 23:21:54,"iPhone: 45.471680,9.192429",,Wed May 13 15:34:41 +0000 2009,22987,6,14,600,755,True,Spambot_1
57007623,57007623,RafielaMorales,Rafiela Morales L.,"Cuasi Odontologa*♥,#Bipolar, #Sarcastica & Some might say im a BiTch but I'm just a Free beast in a Wild life.- #1God'sFan, Dreamer & Music Believer~",,2014-05-19 23:24:18,"ÜT: 18.4698712,-69.9327525",,Wed Jul 15 12:55:03 +0000 2009,7975,2,11,398,350,True,Spambot_1
63258466,63258466,FabrizioC_c,§ h a † u r♄,"I shall rise from my own death, to avenge hers with all the powers of darkness.",,2014-05-11 23:22:23,Firenze,http://t.co/PK5F0JDKcy,Wed Aug 05 21:12:49 +0000 2009,20218,8,162,413,405,True,Spambot_1
96435556,96435556,Marianocrt,Mariano,O scrivi Italia o scrivi libertà. Due termini distanti come la Costituzione formale e quella materiale!,,2014-04-22 23:20:09,,,Sat Dec 12 22:53:04 +0000 2009,15259,1,55,134,401,True,Spambot_1
108992875,108992875,marzia_hayley,marzia menonna,paramore 10/06/13 ♥♥ - Tonight Alive - TVD -TO - OUAT- Revenge - TW - SPN ecc.,,2014-06-07 23:23:32,roma,http://t.co/JkUrqi0S0F,Wed Jan 27 16:51:00 +0000 2010,9551,1,655,337,630,True,Spambot_1
177671726,177671726,RobertoBoscaini,Roberto Boscaini,"Appassionato di manga, anime, cimema, serie tv, wrestling, sport, Giappone.",,2014-05-20 23:24:27,Cave (RM),,Thu Aug 12 19:31:28 +0000 2010,206,0,38,28,105,True,Spambot_1
223945761,223945761,ilsaggiolibro,Ilsaggiolibro.it,,,2014-05-27 23:22:16,,http://t.co/vze3v7KAp7,Tue Dec 07 19:08:04 +0000 2010,93793,28,0,2617,52,True,Spambot_1
237177357,237177357,RosannaPilano,Rosanna Pilano,"Focosa, onesta, sincera. Mai tradire.",,2014-06-09 23:20:27,Milano,,Wed Jan 12 07:32:14 +0000 2011,490,0,0,1561,2001,True,Spambot_1
